koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CONFIRMED,7.8774163,176.3759,0.041,2.0805,1.31E+03,0.03209,8.09685,2.16,0.0665,89.92,135,4126,4.661,0.04,0.615,0.633,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36
CONFIRMED,36.4454001,151.60125,0.028,4.007,1.12E+03,0.029681,5.21237,1.99,0.1847,89.98,27,4126,4.661,0.04,0.615,0.633,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36
CONFIRMED,3.728732147,171.793255,0.558,2.683,5.23E+03,0.068178,1.24118,6.02,0.0455,86.7,357,5497,4.577,-0.1,0.809,0.907,15.523,16.107,15.461,15.273,15.177,14.179,13.825,13.669
CANDIDATE,40.4195037,173.56469,0.911,3.362,6.26E+03,0.088069,1.89549,7.51,0.2062,89.05,36,5446,4.507,-0.54,0.781,0.714,15.487,16.1,15.463,15.224,15.091,14.029,13.631,13.491
CONFIRMED,2.243380573,170.679233,0.915,1.1196,8.22E+02,0.032248,1.50915,1.99,0.028,82.88,472,4149,4.698,-0.32,0.564,0.578,15.135,16.369,15.11,14.607,14.322,13.213,12.521,12.394
FALSE POSITIVE,10.40599802,177.197466,0.324,6.5036,1.45E+04,0.111248,0.38489,11.23,0.0855,88.57,117,5746,4.393,-0.54,0.924,0.77,15.562,16.096,15.528,15.333,15.219,14.305,13.944,13.93
CONFIRMED,2.337437946,171.761982,0.28,1.9982,9.71E+02,0.027998,2.41093,2.34,0.0325,88.19,578,5005,4.595,0.14,0.765,0.85,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195
CANDIDATE,7.2406612,137.75545,1.198,0.558,5.56E+02,0.232818,8.66412,19.45,0.0692,87.62,168,5005,4.595,0.14,0.765,0.85,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195
CANDIDATE,3.43591631,132.6624,0.624,3.133,2.32E+01,0.004612,0.47024,0.55,0.0437,84.62,357,5779,4.339,-0.06,1.087,0.941,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503
CONFIRMED,11.59822233,180.395376,0.679,2.5237,2.80E+03,0.051287,3.14915,2.65,0.0798,88.62,115,3688,4.79,0,0.473,0.503,15.937,17.501,16.14,15.267,14.795,13.474,12.813,12.628
CONFIRMED,6.575315881,173.634044,0.39,4.3084,2.79E+03,0.049152,0.64392,5.31,0.067,88.03,205,5992,4.415,-0.32,0.989,0.927,15.312,15.797,15.275,15.104,15.03,14.071,13.793,13.686
CONFIRMED,7.275040844,169.994217,0.547,7.5377,3.00E+03,0.051358,0.10578,4.86,0.0732,85.29,188,5485,4.556,0.21,0.867,0.986,15.08,15.69,14.996,14.819,14.745,13.732,13.402,13.26
CONFIRMED,19.27153892,186.77093,0.031,2.7594,1.22E+03,0.031585,8.48241,1.93,0.1171,89.97,67,4077,4.702,-0.24,0.56,0.576,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589
CONFIRMED,10.06524317,136.28906,0.628,1.369,1.05E+03,0.031153,18.09666,1.91,0.076,89.22,126,4077,4.702,-0.24,0.56,0.576,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589
CONFIRMED,12.3935651,178.74725,0.883,3.8896,9.17E+02,0.032536,0.27483,2.66,0.0983,86.13,107,5557,4.603,-0.4,0.75,0.832,15.505,16.079,15.474,15.258,15.177,14.196,13.783,13.692
CONFIRMED,43.84439721,151.93538,0.852,6.802,6.15E+02,0.025934,0.22039,2.87,0.2395,88.27,29,5854,4.406,-0.12,1.012,0.951,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431
FALSE POSITIVE,3.341913228,171.63943,1.213,3.813,7.25E+02,0.243351,0.01791,21.55,0.0415,56.44,780,5295,4.551,-0.02,0.811,0.853,15.629,16.325,15.556,15.331,15.173,14.14,13.729,13.681
FALSE POSITIVE,1.626630225,169.820171,1.26,2.1145,1.62E+03,0.305244,0.09631,32.43,0.026,58.03,664,5735,4.41,-0.18,0.973,0.889,15.279,15.857,15.224,15.031,14.88,13.918,13.59,13.507
CONFIRMED,2.711504086,170.03417,0.023,3.0099,8.38E+02,0.026533,0.91618,3.12,0.0401,89.81,494,6214,4.442,0.07,1.076,1.169,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065
CONFIRMED,7.21203748,172.81782,0.012,4.0491,9.50E+02,0.028255,0.99867,3.32,0.077,89.95,165,6214,4.442,0.07,1.076,1.169,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065
FALSE POSITIVE,14.1798187,171.50237,0.1601,2.505,4.60E+02,0.019561,7.76746,1.88,0.1137,89.95,,5799,4.539,-0.1,0.878,0.975,15.727,16.243,15.658,15.506,15.404,14.464,14.175,14.149
CONFIRMED,8.47237911,174.16212,0.022,2.7245,1.12E+03,0.030119,3.86328,2.59,0.0778,89.95,159,5354,4.587,-0.08,0.788,0.884,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453
CONFIRMED,60.4189369,181.16367,0.094,5.039,9.31E+02,0.027422,4.26444,2.36,0.2884,89.94,22,5354,4.587,-0.08,0.788,0.884,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453
CONFIRMED,12.61190435,180.892284,0.55,5.1497,6.11E+03,0.073758,0.61222,7.4,0.1058,88.17,104,5795,4.508,-0.02,0.919,0.992,15.14,15.659,15.072,14.918,14.825,13.942,13.546,13.478
FALSE POSITIVE,1.433769925,170.403536,1.268,1.8868,1.98E+03,0.318591,0.1372,46.58,0.0256,58.99,481,6017,4.22,0.02,1.339,1.083,15.122,15.561,15.088,14.934,14.832,13.985,13.638,13.579
FALSE POSITIVE,10.31872301,173.31543,1.215,3.836,8.72E+02,0.247006,0.03681,28.59,0.0944,78.15,130,5927,4.409,0.07,1.06,1.05,15.065,15.603,15.003,14.834,14.722,13.817,13.51,13.437
CONFIRMED,2.539183147,169.67494,0.238,2.4282,3.82E+02,0.017724,1.46261,2.06,0.0355,88.28,528,5519,4.35,0.14,1.062,0.921,15.026,15.535,14.987,14.808,14.762,13.812,13.465,13.358
CONFIRMED,6.770300385,170.57662,0.838,2.0844,1.30E+03,0.037414,1.45164,2.77,0.064,86.84,200,5653,4.656,-0.84,0.679,0.767,15.591,16.126,15.562,15.362,15.258,14.318,13.91,13.828
FALSE POSITIVE,0.444291966,169.865406,1.258,2.0792,1.10E+04,0.396105,0.42351,27.51,0.0101,39.97,1466,5255,4.678,-0.72,0.636,0.709,15.748,16.397,15.713,15.47,15.327,14.33,13.832,13.751
